valid_time,latitude,longitude,t2m,number,sp,tp
2024-01-01,49.5,1.5,280.43503,0,98847.41,0.00033688545
2024-01-01,49.5,1.75,280.30075,0,98755.41,0.0003758669
2024-01-01,49.5,2.0,280.41696,0,98964.91,0.00038421154
2024-01-01,49.5,2.25,280.56735,0,99305.41,0.00038552284
2024-01-01,49.5,2.5,280.67966,0,99545.41,0.0003876686
2024-01-01,49.25,1.5,280.80222,0,99484.16,0.00030767918
2024-01-01,49.25,1.75,280.6655,0,99396.41,0.0003478527
2024-01-01,49.25,2.0,280.6567,0,99427.41,0.0003746748
2024-01-01,49.25,2.25,280.6743,0,99552.41,0.00040018559
2024-01-01,49.25,2.5,280.76804,0,99708.91,0.0004028082
2024-01-01,49.0,1.5,280.85397,0,99496.66,0.00025355816
2024-01-01,49.0,1.75,280.9155,0,99561.91,0.0002667904
2024-01-01,49.0,2.0,280.99216,0,99663.16,0.00029790401
2024-01-01,49.0,2.25,281.01755,0,99821.16,0.00032234192
2024-01-01,49.0,2.5,280.94577,0,99936.91,0.00035715103
2024-01-01,48.75,1.5,280.561,0,99176.91,0.000264287
2024-01-01,48.75,1.75,280.65427,0,99280.16,0.00026094913
2024-01-01,48.75,2.0,280.72702,0,99379.41,0.00025355816
2024-01-01,48.75,2.25,280.89597,0,99674.91,0.00024735928
2024-01-01,48.75,2.5,280.9658,0,99829.16,0.0002604723
2024-01-01,48.5,1.5,280.25534,0,98962.41,0.0003414154
2024-01-01,48.5,1.75,280.41354,0,99160.91,0.00031399727
2024-01-01,48.5,2.0,280.61374,0,99391.66,0.00025224686
2024-01-01,48.5,2.25,280.81686,0,99668.16,0.00024342537
2024-01-01,48.5,2.5,280.94382,0,99851.66,0.00024032593
2024-01-01,48.25,1.5,280.4033,0,99230.66,0.00039339066
2024-01-01,48.25,1.75,280.5151,0,99404.16,0.00035357475
2024-01-01,48.25,2.0,280.64792,0,99536.41,0.00028514862
2024-01-01,48.25,2.25,280.77243,0,99676.91,0.00024986267
2024-01-01,48.25,2.5,280.85397,0,99749.41,0.00021910667
2024-01-01,48.0,1.5,280.6738,0,99530.66,0.00036120415
2024-01-01,48.0,1.75,280.76657,0,99684.91,0.00032567978
2024-01-01,48.0,2.0,280.71774,0,99610.66,0.00029230118
2024-01-01,48.0,2.25,280.82126,0,99706.66,0.00024485588
2024-01-01,48.0,2.5,280.90524,0,99781.16,0.00021409988
2024-01-02,49.5,1.5,284.22354,0,97733.01,0.0004683733
2024-01-02,49.5,1.75,284.03702,0,97652.51,0.00053346157
2024-01-02,49.5,2.0,284.09464,0,97866.26,0.00048041344
2024-01-02,49.5,2.25,284.19034,0,98207.76,0.00047457218
2024-01-02,49.5,2.5,284.22012,0,98451.26,0.0004749298
2024-01-02,49.25,1.5,284.49112,0,98385.26,0.00046789646
2024-01-02,49.25,1.75,284.30264,0,98308.76,0.00053560734
2024-01-02,49.25,2.0,284.2211,0,98347.26,0.0005018711
2024-01-02,49.25,2.25,284.14395,0,98477.76,0.0004943609
2024-01-02,49.25,2.5,284.13467,0,98639.26,0.00048077106
2024-01-02,49.0,1.5,284.41202,0,98432.51,0.00044751167
2024-01-02,49.0,1.75,284.31778,0,98506.51,0.00047504902
2024-01-02,49.0,2.0,284.28116,0,98613.26,0.00043046474
2024-01-02,49.0,2.25,284.20255,0,98776.01,0.00042402744
2024-01-02,49.0,2.5,284.0458,0,98897.76,0.0004492998
2024-01-02,48.75,1.5,284.03262,0,98159.26,0.0004929304
2024-01-02,48.75,1.75,283.93643,0,98271.51,0.0004836321
2024-01-02,48.75,2.0,283.87686,0,98377.01,0.00042533875
2024-01-02,48.75,2.25,283.89493,0,98673.76,0.00040006638
2024-01-02,48.75,2.5,283.809,0,98832.26,0.00039231777
2024-01-02,48.5,1.5,283.87735,0,97992.26,0.00042033195
2024-01-02,48.5,1.75,283.80362,0,98197.76,0.00038826466
2024-01-02,48.5,2.0,283.73965,0,98432.76,0.00036346912
2024-01-02,48.5,2.25,283.6674,0,98712.76,0.00035619736
2024-01-02,48.5,2.5,283.56046,0,98901.01,0.0003529787
2024-01-02,48.25,1.5,283.83633,0,98299.76,0.00040864944
2024-01-02,48.25,1.75,283.63174,0,98481.01,0.00038671494
2024-01-02,48.25,2.0,283.4125,0,98621.26,0.0003694296
2024-01-02,48.25,2.25,283.30362,0,98768.76,0.00036513805
2024-01-02,48.25,2.5,283.19083,0,98850.01,0.00035953522
2024-01-02,48.0,1.5,283.7084,0,98641.01,0.00049316883
2024-01-02,48.0,1.75,283.49356,0,98803.76,0.00046920776
2024-01-02,48.0,2.0,283.13223,0,98742.26,0.00043833256
2024-01-02,48.0,2.25,283.0883,0,98845.51,0.000415802
2024-01-02,48.0,2.5,282.98477,0,98929.01,0.00040781498
2024-01-03,49.5,1.5,283.01178,0,97875.0,0.00016140938
2024-01-03,49.5,1.75,282.97223,0,97770.25,0.00013065338
2024-01-03,49.5,2.0,283.24518,0,97962.5,8.058548e-05
2024-01-03,49.5,2.25,283.51227,0,98284.0,6.6161156e-05
2024-01-03,49.5,2.5,283.69244,0,98507.75,7.2836876e-05
2024-01-03,49.25,1.5,283.5313,0,98517.25,0.00010919571
2024-01-03,49.25,1.75,283.48737,0,98416.25,7.4863434e-05
2024-01-03,49.25,2.0,283.5777,0,98432.75,7.545948e-05
2024-01-03,49.25,2.25,283.65387,0,98544.75,6.03199e-05
2024-01-03,49.25,2.5,283.8023,0,98686.25,6.234646e-05
2024-01-03,49.0,1.5,283.76422,0,98546.0,8.916855e-05
2024-01-03,49.0,1.75,283.8399,0,98599.25,0.000100016594
2024-01-03,49.0,2.0,283.92487,0,98686.25,5.4001808e-05
2024-01-03,49.0,2.25,284.02008,0,98831.25,3.504753e-05
2024-01-03,49.0,2.5,284.03912,0,98935.75,3.4809113e-05
2024-01-03,48.75,1.5,283.62897,0,98250.25,5.38826e-05
